duc|3
urg|2
frig|2
dura|1
horr|1
di-|7
as-|3
-ian|5
stato-|1
laz|1
phos|1
caval|2
choano-|1
eigen-|1
mix|2
dexter|1
helio|1
rrhage|1
valu|1
orn|2
onycho-|1
emul|1
join|2
pluto|1
reg|3
chant|2
cupro|1
swer|1
cel|2
il-|5
nega-|1
-art|1
grand|2
search|1
-nik|1
cura|1
megalo|1
rhizo|1
auth|1
egor|1
flict|2
gin|1
male-|1
fortun|3
-acle|2
land|1
saf|1
xanth|1
creet|2
scent|1
men|2
polit|3
atto-|1
oleum|1
presby|1
arseno-|1
athl|1
div|1
nos|1
urin|1
wat|1
rad|3
val|3
histo-|1
flat|2
oesophago-|1
porno-|1
vesico-|1
taph|2
-petal|1
coll|1
hib|1
mas|1
nym|1
anim|2
taint|1
gamy|1
lap|1
cur|4
-ry|6
pluri-|1
esthes|1
hedron|1
hept-|1
pledg|1
propr|1
ric-|1
mut|2
-tropic|1
undeca-|2
y-|1
mach|1
mill|1
nitr|1
rit|1
cine-|1
mangano-|1
ardu|1
ev-|1
hemat|1
stom|1
glori|1
lith|2
magist|2
mono-|4
-stat|1
fisc|2
lude|1
rug|1
medi|3
hema|1
las|1
stak|1
volcan|1
hilar|2
trop|3
adeno-|1
stomato-|1
sponse|1
found|4
chrono-|1
labo|1
san|1
tip|1
fic|4
pall|2
vitelli-|1
franch|1
swif|1
calci-|1
Gallo-|1
-ition|3
count|2
met-|1
o-|1
stitu|1
-lysis|1
el-|1
etho|1
stroph|1
bathy-|1
brac|1
past|3
stem|1
niv|1
tep|1
-iasis|1
asco-|1
xylo-|1
ort|2
cede|1
vulg|2
-gon|1
prag|1
muco-|1
boist|1
simpl|1
fur|2
glut|1
quadru-|2
civi|1
hydro|1
kinemat|1
mell|1
mount|2
stress|2
monstr|2
odont|1
cret|6
thes|2
un-|5
-ida|1
quinti-|2
aus|1
calor|1
mega-|3
-let|3
cyc|1
shor|1
ac|2
e-|5
prav|1
fabl|1
ming|1
-tious|1
-ulous|1
turg|2
-therm|1
pap|1
celer|2
sinistro-|1
cumbr|1
-nomy|2
nona-|2
-style|2
calcul|1
integr|2
sumpt|3
surg|2
hous|1
-pulse|1
adreno-|1
-faction|3
necro-|1
form|3
-sy|1
hom-|1
wid|1
it|3
vert|3
-odontics|1
meter|2
bey|1
certi|1
chir|1
foli|2
lect|4
struct|3
-est|3
aer|1
api|1
somno|1
phas|2
plus|2
-tic|3
macro-|4
band|1
ef-|4
tut|2
karyo-|1
ptero-|1
chapt|1
insul|2
bromo-|1
extr-|1
pop|1
