A-bomb|s:a-bombs
a-come|i:a-coming
a-couple|p:a-coupled
a-cup|s:a-cups
a-flutter|i:a-fluttering
a-frame|s:a-frames
a-go|i:a-going
a-grade|s:a-grades
a-level|s:a-levels,d:a-levelled
a-list|d:a-listed
a-particle|s:a-particles
a-rain|i:a-raining
a-sit|i:a-sitting
aaah|p:aaahed
aac|s:aacs
aah|s:aahs,i:aahing,p:aahed
AAM|s:aams
aardvark|s:aardvarks
aat|s:aats
ab|i:abbing
aba|s:abas
abaco|s:abacos
abalone|s:abalones
abandon|d:abandoned,p:abandoned,i:abandoning,3:abandons
abandonment|s:abandonments
abase|i:abasing,p:abased,3:abases,d:abased
abash|d:abashed,i:abashing,p:abashed,3:abashes
abate|d:abated,i:abating,p:abated,3:abates
abatement|s:abatements
abattoir|s:abattoirs
abaya|s:abayas
abbacy|s:abbacies
abbe|3:abbes
abbess|s:abbesses
abbey|s:abbeys
abbot|s:abbots
abbreviate|d:abbreviated,i:abbreviating,p:abbreviated,3:abbreviates
abbreviation|s:abbreviations
ABC|s:abcs
abdicate|p:abdicated,d:abdicated,i:abdicating,3:abdicates,s:abdicates
abdomen|s:abdomens
abdominal|s:abdominals
abduct|d:abducted,p:abducted,i:abducting,3:abducts
abductee|s:abductees
abduction|s:abductions
abductor|s:abductors
abercromby|s:abercrombies
Aberdonian|s:aberdonians
aberrance|s:aberrances
aberration|s:aberrations
abet|p:abetted,i:abetting,d:abetted,3:abets
abete|p:abeted
abettor|s:abettors
abhor|p:abhorred,3:abhors,d:abhorred,i:abhorring
abhorrence|s:abhorrences
abhuman|s:abhumans
abide|i:abiding,3:abides,p:abided,d:abided
abigail|s:abigails
ability|s:abilities
abing|r:abinger
abjure|d:abjured,i:abjuring,p:abjured,s:abjures,3:abjures
abkhazian|s:abkhazians
ABL|t:ablest,r:abler
ablate|d:ablated,p:ablated,s:ablates,i:ablating,3:ablates
ablation|s:ablations
ablution|s:ablutions
abnegate|d:abnegated,i:abnegating,p:abnegated,3:abnegates
abnormal|s:abnormals
abnormality|s:abnormalities
ABO|s:abos
abode|s:abodes
abolish|d:abolished,i:abolishing,p:abolished,3:abolishes
abolitionist|s:abolitionists
abominate|p:abominated,3:abominates,i:abominating,d:abominated
abomination|s:abominations
aboriginal|s:aboriginals
aborigine|s:aborigines
abort|d:aborted,p:aborted,i:aborting,3:aborts
abortifacient|s:abortifacients
abortion|s:abortions
abortionist|s:abortionists
abound|3:abounds,p:abounded,i:abounding,d:abounded
about-face|f:about-faces
about-turn|s:about-turns
abrade|d:abraded,p:abraded,i:abrading,3:abrades
abram|s:abrams,3:abrams
abrash|3:abrashes,s:abrashes
abrasion|s:abrasions
abrasive|s:abrasives
abreact|i:abreacting,p:abreacted,3:abreacts,d:abreacted
abridge|d:abridged,i:abridging,p:abridged,3:abridges
abridgement|s:abridgements
abridgment|s:abridgments
abrogate|d:abrogated,i:abrogating,p:abrogated,3:abrogates
abrogation|s:abrogations
abscess|s:abscesses
abscise|i:abscising,p:abscised,3:abscises,d:abscised
abscond|p:absconded,d:absconded,i:absconding,3:absconds,s:absconds
absconder|s:absconders
absconding|s:abscondings
abseil|i:abseiling,p:abseiled,s:abseils,d:abseiled,3:abseils
abseiler|s:abseilers
absence|s:absences
absent|p:absented,i:absenting,d:absented,3:absents
absentee|s:absentees
absolute|s:absolutes
absolutism|s:absolutisms
absolutist|s:absolutists
absolutize|3:absolutizes,d:absolutized
absolve|d:absolved,p:absolved,i:absolving,3:absolves
absorb|d:absorbed,p:absorbed,3:absorbs,i:absorbing
absorbance|s:absorbances
absorbent|s:absorbents
absorber|s:absorbers
absorption|s:absorptions
absquatulate|i:absquatulating,p:absquatulated,3:absquatulates,d:absquatulated
abstain|p:abstained,i:abstaining,d:abstained,3:abstains
abstainer|s:abstainers
abstention|s:abstentions
abstentionist|s:abstentionists
abstinence|s:abstinences
abstract|s:abstracts,d:abstracted,i:abstracting,3:abstracts,p:abstracted
abstraction|s:abstractions
abstractionist|s:abstractionists
abstractor|s:abstractors
abstruse|r:abstruser
absurd|s:absurds
absurdist|s:absurdists
absurdity|s:absurdities
abundance|s:abundances
abuse|d:abused,s:abuses,i:abusing,3:abuses,p:abused
abuser|s:abusers
abut|i:abutting,3:abuts,p:abutted,d:abutted
abutilon|s:abutilons
abutment|s:abutments
aby|s:abies,i:abying,p:abought,3:abies,d:abought
abye|i:abying,p:abought,3:abys,d:abought
abyss|s:abysses
Abyssinian|s:abyssinians
AC|s:acs
acacia|s:acacias
acad|s:acads
academe|s:academes
academic|s:academics
academical|s:academicals
academician|s:academicians
academy|s:academies
Acadian|s:acadians
acanthocephalan|s:acanthocephalans
accede|p:acceded,d:acceded,i:acceding,3:accedes
accelerant|s:accelerants
accelerate|p:accelerated,d:accelerated,i:accelerating,3:accelerates
acceleration|s:accelerations
accelerator|s:accelerators
accelerometer|s:accelerometers
accent|s:accents,p:accented,i:accenting,d:accented,3:accents
accentuate|d:accentuated,p:accentuated,3:accentuates,i:accentuating
accentuation|s:accentuations
accept|d:accepted,p:accepted,i:accepting,3:accepts
acceptance|s:acceptances
acceptor|s:acceptors
access|d:accessed,i:accessing,3:accesses,s:accesses,p:accessed
accessibility|s:accessibilities
accession|s:accessions,d:accessioned,p:accessioned,i:accessioning,3:accessions
accessorise|i:accessorising,p:accessorised
accessorised|d:accessorised
accessoriser|s:accessorisers
accessorize|d:accessorized
accessory|s:accessories
accident|s:accidents
accidental|s:accidentals
accidentalist|s:accidentalists
acclaim|d:acclaimed,p:acclaimed,i:acclaiming,s:acclaims,3:acclaims
acclamation|s:acclamations
acclimate|p:acclimated,i:acclimating,3:acclimates,d:acclimated
acclimation|s:acclimations
acclimatise|d:acclimatised,i:acclimatising,p:acclimatised
acclimatize|d:acclimatized,p:acclimatized,i:acclimatizing,3:acclimatises
accolade|s:accolades
accommodate|d:accommodated,i:accommodating,3:accommodates,p:accommodated
accommodation|s:accommodations
accomodate|d:accomodated
accompaniment|s:accompaniments
accompanist|s:accompanists
accompany|d:accompanied,p:accompanied,i:accompanying,3:accompanies
accomplice|s:accomplices
accomplish|d:accomplished,p:accomplished,i:accomplishing,3:accomplishes
accomplishment|s:accomplishments
accompt|s:accompts
accord|i:according,d:accorded,3:accords,s:accords,p:accorded
accordian|s:accordians
accordion|s:accordions
accordionist|s:accordionists
accost|d:accosted,p:accosted,i:accosting,3:accosts
account|s:accounts,d:accounted,i:accounting,3:accounts,p:accounted
account-holder|s:account-holders
accountability|s:accountabilities
accountant|s:accountants
accouter|i:accoutering,p:accoutered,3:accouters,d:accoutered
accoutre|i:accoutring,p:accoutred,3:accoutres,d:accoutred
accoutrement|s:accoutrements
accredit|d:accredited,i:accrediting,s:accredits,3:accredits,p:accredited
accreditation|s:accreditations
accrete|d:accreted,p:accreted,3:accretes,i:accreting
accretion|s:accretions
accroach|i:accroaching
accrual|s:accruals
accrue|i:accruing,d:accrued,3:accrues,p:accrued
acculturate|p:acculturated,d:acculturated,i:acculturating,3:acculturates
accumulate|d:accumulated,i:accumulating,3:accumulates,p:accumulated
accumulation|s:accumulations
accumulator|s:accumulators
accur|d:accurred,s:accurs
accuracy|s:accuracies
accusation|s:accusations
accuse|d:accused,p:accused,i:accusing,3:accuses
accuser|s:accusers
accustom|d:accustomed,p:accustomed,3:accustoms,i:accustoming
ace|s:aces,i:acing,p:aced,3:aces,d:aced,f:aces
acer|s:acers
acerbate|i:acerbating,p:acerbated,3:acerbates,d:acerbated
acerbity|s:acerbities
acetate|s:acetates
acetify|i:acetifying,p:acetified,3:acetifies,d:acetified
acetyl|s:acetyls
acetylate|d:acetylated,p:acetylated,i:acetylating,3:acetylates
acetylene|s:acetylenes
ACH|s:aches,3:aches
Achaean|s:achaeans
Achaemenid|s:achaemenids
ache|p:ached,i:aching,d:ached,3:aches
achieve|d:achieved,i:achieving,p:achieved,3:achieves
achievement|s:achievements
achiever|s:achievers
Achille|s:achilles
achillea|s:achilleas
achondrite|s:achondrites
achromatize|i:achromatizing,p:achromatized,3:achromatizes,d:achromatized
acid|s:acids
acidifier|s:acidifiers
acidify|d:acidified,p:acidified,3:acidifies,i:acidifying
acidity|s:acidities
acidulate|i:acidulating,p:acidulated,3:acidulates,d:acidulated
Acker|s:ackers
acknowledge|p:acknowledged,d:acknowledged,3:acknowledges,i:acknowledging
acknowledgement|s:acknowledgements
acknowledgment|s:acknowledgments
Ackroyd|s:ackroyds
ACL|s:acls
ACM|s:acms
acme|s:acmes
ACO|s:acos
acolyte|s:acolytes
aconite|s:aconites
acord|i:acording
acorn|s:acorns
acount|d:acounted
acoustic|s:acoustics
acquaint|d:acquainted,i:acquainting,p:acquainted,3:acquaints
acquaintance|s:acquaintances
acquaintanceship|s:acquaintanceships
acquiesce|d:acquiesced,p:acquiesced,i:acquiescing,3:acquiesces
acquire|d:acquired,p:acquired,i:acquiring,3:acquires
acquirement|s:acquirements
acquirer|s:acquirers
acquiror|s:acquirors
acquisition|s:acquisitions
acquistion|s:acquistions
acquit|d:acquitted,p:acquitted,i:acquitting,s:acquits,3:acquits
acquittal|s:acquittals
acquittance|s:acquittances
acre|s:acres
acreage|s:acreages
acritarch|s:acritarchs
acro|s:acros
acrobat|s:acrobats,3:acrobats
acrobatic|s:acrobatics
acrocentric|s:acrocentrics
acromegalic|s:acromegalics
acronym|s:acronyms,p:acronymed
acrostic|s:acrostics
acrylate|s:acrylates
acrylic|s:acrylics
act|i:acting,s:acts,p:acted,d:acted,3:acts
ACTe|s:actes
acting|s:actings
actinian|s:actinians
actinide|s:actinides
actinomycete|s:actinomycetes
action|s:actions,i:actioning,p:actioned,3:actions,f:actions
action-sequence|s:action-sequences
actionist|s:actionists
activate|d:activated,i:activating,3:activates,p:activated
activator|s:activators
active|s:actives
activist|s:activists
activity|s:activities
actor|s:actors
actor-manager|s:actor-managers
actress|s:actresses
actt|s:actts
actual|s:actuals
actualise|d:actualised,p:actualised,i:actualising
actuality|s:actualities
actualize|d:actualized,i:actualizing,p:actualized,3:actualizes
actuary|s:actuaries
actuate|d:actuated,3:actuates,i:actuating,p:actuated
actuator|s:actuators
acuity|s:acuities
acuminate|i:acuminating,p:acuminated,3:acuminates,d:acuminated
acupuncturist|s:acupuncturists
acute|s:acutes,t:acutest
acylate|i:acylating
ad|s:ads
ad-lib|s:ad-libs,3:ad-libs,i:ad-libbing,p:ad-libbed,d:ad-libbed,f:ad-libs
ad-man|s:ad-men
ad-minister|p:ad-ministered
adage|s:adages
adagio|s:adagios
adakite|s:adakites
adama|s:adamas
adapt|d:adapted,i:adapting,p:adapted,3:adapts
adaptation|s:adaptations
adapter|s:adapters
adaption|s:adaptions
adaptor|s:adaptors
adatom|3:adatoms,s:adatoms
add|p:added,d:added,i:adding,3:adds
add-in|s:add-ins
add-on|s:add-ons
add-up|s:add-ups
addendum|s:addendums
adder|s:adders
addict|d:addicted,s:addicts,i:addicting,p:addicted,3:addicts
addiction|s:addictions
addio|s:addios
addition|s:additions
additive|s:additives
addle|d:addled,3:addles,p:addled,i:addling
ADDR|t:addrest
address|d:addressed,i:addressing,s:addresses,p:addressed,3:addresses
addressee|s:addressees
addressing|s:addressings
adduce|d:adduced,3:adduces,p:adduced,i:adducing
adduct|s:adducts,3:adducts,p:adducted,i:adducting,d:adducted
adductor|s:adductors
addy|s:addies
adeem|d:adeemed
adenine|s:adenines
adenocarcinoma|s:adenocarcinomas
adenoid|s:adenoids
adenoma|s:adenomas
adept|s:adepts
adequacy|s:adequacies
adhere|d:adhered,i:adhering,p:adhered,3:adheres
adherent|s:adherents
adhesin|s:adhesins
adhesion|s:adhesions
adhesive|s:adhesives
adhocracy|s:adhocracies
ADIO|s:adios
adirondack|s:adirondacks
adit|s:adits
adjective|s:adjectives
adjoin|i:adjoining,3:adjoins,p:adjoined,d:adjoined
adjourn|d:adjourned,p:adjourned,i:adjourning,s:adjourns,3:adjourns
adjournment|s:adjournments
adjudge|d:adjudged,p:adjudged,i:adjudging,3:adjudges
adjudicate|d:adjudicated,i:adjudicating,p:adjudicated,3:adjudicates,s:adjudicates
adjudication|s:adjudications
adjudicator|s:adjudicators
adjunct|s:adjuncts
adjure|p:adjured,d:adjured,i:adjuring,3:adjures
adjust|d:adjusted,i:adjusting,p:adjusted,3:adjusts
adjustable|s:adjustables
adjuster|s:adjusters
adjustment|s:adjustments
adjustor|s:adjustors
adjutant|s:adjutants
adlib|i:adlibbing
adman|s:admen
admeasure|i:admeasuring,p:admeasured,3:admeasures,d:admeasured
ADMIN|s:admins
administer|d:administered,i:administering,3:administers,p:administered
administrate|i:administrating,3:administrates,d:administrated,s:administrates,p:administrated
administration|s:administrations
administrator|s:administrators
admiral|s:admirals
Admiralty|s:admiralties
admiration|s:admirations
admire|p:admired,d:admired,i:admiring,3:admires
admirer|s:admirers
admission|s:admissions
admit|p:admitted,d:admitted,3:admits,i:admitting
admittance|s:admittances
admix|s:admixes,d:admixed,i:admixing,p:admixed,3:admixes
admixture|s:admixtures
admonish|p:admonished,d:admonished,i:admonishing,3:admonishes
admonishment|s:admonishments
admonition|s:admonitions
adobe|s:adobes
adolescence|s:adolescences
adolescent|s:adolescents
adopt|d:adopted,p:adopted,i:adopting,3:adopts
adoptee|s:adoptees
adopter|s:adopters
adoption|s:adoptions
adoral|s:adorals
adoration|s:adorations
adore|p:adored,3:adores,d:adored,i:adoring
adorer|s:adorers
adorn|d:adorned,p:adorned,i:adorning,3:adorns
adornment|s:adornments
ADR|s:adrs
adrenal|s:adrenals
adrenaline|s:adrenalines
adsorb|p:adsorbed,d:adsorbed,3:adsorbs,s:adsorbs,i:adsorbing
adsorbate|s:adsorbates
adsorbent|s:adsorbents
adulate|p:adulated,d:adulated,i:adulating,3:adulates
adult|s:adults
adulterant|s:adulterants
adulterate|d:adulterated,p:adulterated,3:adulterates,i:adulterating
adulterer|s:adulterers
adulteress|s:adulteresses
adultery|s:adulteries
adumbrate|p:adumbrated,3:adumbrates,d:adumbrated,i:adumbrating
adv|t:advest
advan-tage|s:advan-tages
advance|s:advances,d:advanced,p:advanced,i:advancing,3:advances
advancement|s:advancements
advantage|s:advantages,d:advantaged,i:advantaging,p:advantaged,3:advantages
advect|d:advected,p:advected
advent|s:advents
Adventist|s:adventists
adventure|s:adventures,i:adventuring,p:adventured,3:adventures,d:adventured
adventurer|s:adventurers
adventuress|s:adventuresses
adventurist|s:adventurists
adverb|s:adverbs
adverbal|s:adverbals
adverbial|s:adverbials
adversary|s:adversaries
adversity|s:adversities
advert|s:adverts,d:adverted,p:adverted,i:adverting,3:adverts
advertise|d:advertised,p:advertised,i:advertising,3:advertises
advertisement|s:advertisements
advertiser|s:advertisers
advertize|i:advertizing,d:advertized,p:advertized,3:advertizes
advertorial|s:advertorials
advise|d:advised,p:advised,i:advising,3:advises
advisee|s:advisees
adviser|s:advisers
advisor|s:advisors
advocate|d:advocated,s:advocates,i:advocating,p:advocated,3:advocates
advowson|s:advowsons
advt|s:advts
adze|s:adzes,i:adzing,d:adzed
AEA|s:aeas
AEC|s:aecs
aelr|p:aelred
aen|s:aens
aeolian|s:aeolians
aeon|s:aeons
aer|s:aers
aerate|p:aerated,i:aerating,d:aerated,s:aerates,3:aerates
aerator|s:aerators
aerial|s:aerials
aerify|i:aerifying,p:aerified,3:aerifies,d:aerified
aero|s:aeros
aero-engine|s:aero-engines
aerobatic|s:aerobatics
aerobic|s:aerobics
aerodrome|s:aerodromes
aerodynamic|s:aerodynamics
aerodynamicist|s:aerodynamicists
aeroengine|s:aeroengines
aerofoil|s:aerofoils
aerogenerator|s:aerogenerators
aerogramme|s:aerogrammes
aerolith|s:aeroliths
aeronaut|s:aeronauts
aeroplane|s:aeroplanes
aerosol|s:aerosols,d:aerosolled
aerotow|i:aerotowing,s:aerotows
aert|s:aerts
aesthete|s:aesthetes
aesthetician|s:aestheticians
aestivate|i:aestivating,p:aestivated,3:aestivates,d:aestivated
aetiology|s:aetiologies
AF|s:afs,r:afer
afar|s:afars
afear|d:afeared
affair|s:affairs
affaire|s:affaires
affect|d:affected,i:affecting,3:affects,p:affected,s:affects
affectation|s:affectations
affection|s:affections
afferent|s:afferents
affiance|d:affianced,i:affiancing,p:affianced,3:affiances
affidavit|s:affidavits
affiliate|d:affiliated,s:affiliates,i:affiliating,p:affiliated,3:affiliates
affiliation|s:affiliations
affine|s:affines,3:affines
affinity|s:affinities
affirm|p:affirmed,d:affirmed,i:affirming,3:affirms,s:affirms
affirmation|s:affirmations
affirmative|s:affirmatives
affix|d:affixed,s:affixes,p:affixed,i:affixing,3:affixes
afflict|d:afflicted,3:afflicts,i:afflicting,p:afflicted
affliction|s:afflictions
afforce|d:afforced,p:afforced
afford|d:afforded,3:affords,p:afforded,i:affording
afforest|i:afforesting,p:afforested,3:afforests,d:afforested
affranchise|i:affranchising,p:affranchised,3:affranchises,d:affranchised
affray|s:affrays,d:affraid
affricate|s:affricates
affright|d:affrighted,i:affrighting,p:affrighted,3:affrights
affront|d:affronted,p:affronted,s:affronts,i:affronting,3:affronts
